word,count,one,two,three
máy,9384,điện thoại,,
rất,7892,vô cùng,,
tốt,5346,ổn,,
đẹp,4423,bắt mắt,,
dùng,4111,xài,,
mình,4036,tôi,,
được,3785,tốt,ổn,
nhưng,3301,tuy nhiên,,
game,3053,trò chơi,,
ok,2986,ổn,tốt,
camera,2704,máy ảnh,,
xài,2455,dùng,sử dụng,
sản_phẩm,2401,điện thoại,,
mượt,2331,êm,,
ko,2318,không,k,
nhanh,2241,mau,,
ổn,2132,tốt,,
sử_dụng,1961,xài,dùng,
sạc,1732,nạp,,
tầm,1701,khoảng,,
trâu,1352,lâu hết,,
nói_chung,1335,tóm lại,,
hài_lòng,1042,vừa ý,,
lâu,1028,chậm,,
ảnh,948,hình,,
lag,874,giật,,
to,849,bự,lớn,
ứng_dụng,732,,app,
sáng,720,độ sáng,,
tạm,658,,ổn,
tiền,613,,money,
liên_quân,581,trò chơi,,
mượt_mà,548,ổn định,,
yếu,547,phế,dỏm,tệ
kém,528,tệ,dỏm,
mạnh,511,ngon,tốt,
ổn_định,497,mượt mà,,
đơ,465,lag,đứng,
